KIC,Period_days,Depth_ppm,Duration_hours,Epoch,SDE,kepid,label,koi_disposition,kepmag,teff,logg,radius
3735720,68.51096494,1022.039197,11.5,183.8832272,1.420341555,3735720,0,NONE,13.334,4858,4.564,0.726
7524239,68.59650677,509.5592312,10,183.9112829,1.411254988,7524239,0,NONE,14.484,6003,4.392,1.067
3854725,108.4853622,342.3077145,8.5,196.3979056,1.346944228,3854725,0,NONE,14.309,6289,4.407,1.118
12067363,96.67761825,616.1331942,7,183.8451295,1.279461619,12067363,0,NONE,14.459,6103,4.496,0.949
12055539,84.70950373,744.902134,7.5,170.9392654,1.235771091,12055539,1,CONFIRMED,14.411,6075,4.486,0.969
7335881,84.71006756,255.2875022,7.5,170.946039,1.223768206,7335881,0,NONE,13.445,6183,4.355,1.117
6289257,77.17271406,97.78313971,11.5,183.9244215,1.143742858,6289257,1,CONFIRMED,12.797,6108,4.466,1.03
6305665,62.47206195,252.5202365,8.5,164.7932926,1.102550818,6305665,0,NONE,13.747,6029,4.131,1.411
7421448,55.96588249,379.9547949,7.5,148.3149889,1.03141957,7421448,0,NONE,13.858,5724,4.209,1.237
3851162,81.71559289,334.3801,5,210.616721,1.028488787,3851162,0,NONE,14.078,5921,4.326,1.157
2574376,89.5316074,221.471936,7.5,204.2371844,0.938662789,2574376,0,NONE,12.956,5600,4.55,0.723
4048898,70.88425406,76.39332075,8,189.4977155,0.885274725,4048898,1,CANDIDATE,11.993,5973,4.506,0.935
11359056,61.17081696,209.0134245,9.5,180.569795,0.876801617,11359056,0,NONE,12.351,6137,4.2,1.307
7044893,96.12056495,917.2326192,7,183.866307,0.85082815,7044893,0,NONE,14.226,5945,4.562,0.797
6047482,75.9008154,178.084681,7.5,204.189426,0.812880045,6047482,0,NONE,13.905,5750,4.538,0.882
